City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Mattru,SL,84.51,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
268,Luwuk,ID,77.56,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
269,Hithadhoo,MV,83.75,broken clouds,-0.6,73.0833,Scoop Guest House
270,Hobyo,SO,79.77,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
271,Satipo,PE,86.43,few clouds,-11.2522,-74.6386,Hotel Mayros
283,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
285,Kutum,SD,89.08,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
289,Bubaque,GW,79.63,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
294,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
298,Caravelas,BR,82.67,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
304,Acari,PE,76.32,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
306,Madang,PG,78.84,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
309,Qidong,CN,75.04,light rain,31.8128,121.6561,Hilton Garden Inn Qidong
311,Vaitape,PF,79.14,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
312,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
321,Sola,VU,78.21,overcast clouds,-13.8833,167.55,Leumerus Bungalows
331,Havelock,US,89.56,scattered clouds,34.8791,-76.9013,Sherwood Motel
332,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
341,Shymkent,KZ,82.99,clear sky,42.3,69.6,Orbita Boutique Hotel
345,Barsi,IN,81.39,overcast clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
347,Abilene,US,79.29,broken clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
361,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Relax Inn Hotel
362,Ituporanga,BR,75.0,scattered clouds,-27.4144,-49.6025,Hotel Jacaré
364,Caborca,MX,84.49,scattered clouds,30.5838,-111.101,Hotel Los Lagos
373,Semnan,IR,87.33,clear sky,35.5729,53.3971,Semnan Tourist Hotel
377,Brokopondo,SR,81.07,overcast clouds,4.75,-55.1667,Matu Island
378,Nagapattinam,IN,84.9,broken clouds,10.7667,79.8333,Sathya Lodge
389,Shenzhen,CN,86.86,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
390,Maragogi,BR,81.36,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
394,Jiazi,CN,82.69,overcast clouds,22.8779,116.06700000000001,Hotel Jin Hao
396,Soure,BR,83.68,scattered clouds,-0.7167,-48.5233,Casarão
398,Huilong,CN,75.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
399,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
402,Tshikapa,CD,81.19,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
406,Kentau,KZ,81.86,overcast clouds,43.5206,68.5094,Homestay Betty's B&B
407,Arcos,BR,88.34,overcast clouds,-20.2819,-45.5394,Hotel Real Palace
408,Russell,US,79.05,broken clouds,32.3502,-85.1999,Macs
410,Metro,ID,75.67,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
411,Boquira,BR,89.38,overcast clouds,-12.8231,-42.7306,Cristal Palace Hotel
412,Tual,ID,81.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
414,Lamar,US,76.51,few clouds,33.6668,-95.5836,Kings Inn Paris TX
418,Puerto Escondido,MX,87.67,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
424,Nabire,ID,77.23,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
425,Veraval,IN,83.73,overcast clouds,20.9,70.3667,Lords Inn Somnath
429,Fare,PF,79.39,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
430,Mulatupo,PA,82.74,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
431,Korla,CN,80.33,broken clouds,41.7597,86.1469,Gulisitan Hotel
432,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
434,Boffa,GN,88.52,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
436,Boma,GH,87.15,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
438,Basco,PH,84.81,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
441,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
442,Mlonggo,ID,79.18,overcast clouds,-6.5333,110.7,Asia Metal Art
451,Jamkhandi,IN,78.03,overcast clouds,16.5167,75.3,Hotel Shreyas
453,Soyo,AO,82.45,few clouds,-6.1349,12.3689,Hotel Mpampa
455,Chimore,BO,86.05,overcast clouds,-16.9833,-65.1333,Bichito
456,Dabola,GN,80.02,light rain,10.75,-11.1167,Hotel Tinkisso
462,Auki,SB,76.03,light rain,-8.7676,160.7034,Auki Motel
463,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
466,Hambantota,LK,80.35,overcast clouds,6.1241,81.1185,Bungalow 63
468,Sinnai,IT,79.5,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
469,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
472,Port Blair,IN,81.54,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
479,Wajir,KE,87.76,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
481,Honiara,SB,76.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
482,Qazvin,IR,80.22,few clouds,36.2797,50.0049,MarMar Hotel
483,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
487,Lorengau,PG,82.35,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
488,Kanniyakumari,IN,80.92,scattered clouds,8.0833,77.5667,Sparsa
489,Barra,BR,88.14,overcast clouds,-11.0894,-43.1417,Motel Albatroz
490,Wamba,NG,80.13,light rain,8.9333,8.6,Roma Zee Guest House Annex
492,Savannakhet,LA,82.9,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
493,Tura,IN,79.5,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
496,Mana,GF,79.65,overcast clouds,5.6592,-53.7767,LE SAMANA
497,Chai Badan,TH,82.83,broken clouds,15.2,101.1333,Narai Grand Hotel
503,Nieuw Amsterdam,SR,86.16,scattered clouds,5.8833,-55.0833,Globe Hotel
504,Franca,BR,83.28,broken clouds,-20.5386,-47.4008,Imperador Palace Hotel
505,Lao Cai,VN,80.31,broken clouds,22.4833,103.95,Legend Hotel
509,Namibe,AO,75.07,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
513,Acapulco,MX,88.21,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
516,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
518,Ostuni,IT,75.29,few clouds,40.7276,17.5764,Hotel Relais La Sommità
523,Hami,CN,83.12,broken clouds,42.8,93.45,Laoyutang Resort
524,Kirakira,SB,76.95,light rain,-10.4544,161.9205,SanBiz Lodge
525,Jamalpur,BD,83.88,clear sky,24.9167,89.9333,College hostel
527,Kampot,KH,80.65,few clouds,10.6167,104.1833,Two Moons Hotel
528,Villarrica,PY,75.74,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
530,Komsomolskiy,UZ,83.62,overcast clouds,40.4272,71.7189,Ikathouse
531,Laguna,US,77.25,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
532,Axim,GH,83.68,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
