City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
126,San Carlos De Bariloche,AR,2021-05-29 00:42:43,-41.1456,-71.3082,52,75,9.89,38.95
127,Bintulu,MY,2021-05-29 00:42:51,3.1667,113.0333,89,20,3.44,79.21
128,Necochea,AR,2021-05-29 00:42:51,-38.5473,-58.7368,58,100,23.33,51.04
129,Kaitangata,NZ,2021-05-29 00:42:51,-46.2817,169.8464,78,100,9.86,53.92
130,Suntar,RU,2021-05-29 00:42:51,62.1444,117.6319,43,14,2.66,67.87
131,Dakoro,NE,2021-05-29 00:42:52,14.5106,6.765,9,100,2.37,80.06
132,Hithadhoo,MV,2021-05-29 00:42:52,-0.6,73.0833,74,100,15.73,82.69
133,Lagoa,PT,2021-05-29 00:42:52,39.05,-27.9833,75,52,8.14,61.59
134,Keskin,TR,2021-05-29 00:42:53,39.6731,33.6136,90,36,5.46,57.07
135,Toamasina,MG,2021-05-29 00:42:53,-18.1667,49.3833,94,20,2.3,64.4
136,Komsomolskiy,UZ,2021-05-29 00:42:53,40.4272,71.7189,40,1,9.22,70.52
137,Santos Dumont,BR,2021-05-29 00:42:53,-21.4567,-43.5525,97,21,5.1,54.86
138,Port Alfred,ZA,2021-05-29 00:42:54,-33.5906,26.891,67,1,24.67,63.19
139,Faya,SA,2021-05-29 00:42:54,18.3851,42.4509,48,1,0.98,66.31
140,Caravelas,BR,2021-05-29 00:42:54,-17.7125,-39.2481,87,85,6.13,73.78
141,Rochegda,RU,2021-05-29 00:42:55,62.8,43.25,96,100,2.93,39.33
142,Altay,CN,2021-05-29 00:42:55,47.8667,88.1167,40,0,3.56,62.92
143,Namatanai,PG,2021-05-29 00:42:55,-3.6667,152.4333,76,100,10.6,82.29
144,Salina,US,2021-05-29 00:42:12,38.8403,-97.6114,59,20,9.22,63.3
145,Biak,ID,2021-05-29 00:38:35,-0.9131,122.8766,74,29,7.65,81.32
146,Maamba,ZM,2021-05-29 00:42:56,-17.3667,27.15,55,0,3.53,54.52
147,Leningradskiy,RU,2021-05-29 00:42:56,69.3833,178.4167,87,8,12.57,33.22
