City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ixtapa,MX,20.7,-105.2,90.05,48,100,6.29,overcast clouds
79,Vaini,TO,-21.2,-175.2,71.76,100,75,0.0,light rain
80,Nishihara,JP,26.1842,127.7558,71.26,94,90,13.71,light rain
81,Tarakan,ID,3.3,117.6333,82.38,77,70,5.64,broken clouds
82,East London,ZA,-33.0153,27.9116,61.74,72,0,11.5,clear sky
83,Iqaluit,CA,63.7506,-68.5145,28.13,74,75,24.16,broken clouds
84,Balaipungut,ID,1.05,101.2833,81.01,88,95,2.75,overcast clouds
85,Salalah,OM,17.0151,54.0924,84.09,80,74,10.83,broken clouds
86,Arlit,NE,18.7369,7.3853,108.19,4,40,16.58,scattered clouds
87,Vila Velha,BR,-20.3297,-40.2925,85.96,54,20,15.01,few clouds
88,Charters Towers,AU,-20.1,146.2667,55.09,85,3,5.99,clear sky
89,Qaanaaq,GL,77.484,-69.3632,32.27,94,36,5.84,scattered clouds
90,Lompoc,US,34.6391,-120.4579,60.48,81,90,10.36,overcast clouds
91,Lubango,AO,-14.9172,13.4925,61.81,33,20,3.06,few clouds
92,Atherton,GB,53.5237,-2.4935,67.91,70,87,3.76,overcast clouds
93,Punta Arenas,CL,-53.15,-70.9167,37.51,48,75,20.74,broken clouds
94,Gaoyou,CN,32.7858,119.4278,71.92,82,95,6.11,light rain
95,Airai,TL,-8.9266,125.4092,56.98,93,87,2.91,overcast clouds
96,Bosaso,SO,11.2842,49.1816,89.1,50,8,1.97,clear sky
97,Deputatskiy,RU,69.3,139.9,42.26,59,68,6.91,broken clouds
98,Clyde River,CA,70.4692,-68.5914,32.23,69,20,6.91,few clouds
99,Sayyan,YE,15.1718,44.3244,71.2,21,44,10.27,scattered clouds
100,Jibuti,DJ,11.5,42.5,89.98,26,74,4.94,broken clouds
101,Vangaindrano,MG,-23.35,47.6,69.31,90,16,4.21,few clouds
102,Shahpur,IN,16.7,76.8333,82.47,65,88,19.24,moderate rain
103,Klaksvik,FO,62.2266,-6.589,52.72,83,56,10.38,broken clouds
104,Soritor,PE,-6.1392,-77.1039,83.44,52,46,2.93,scattered clouds
105,Nadym,RU,65.5333,72.5167,56.41,62,99,24.32,light rain
106,Port Alfred,ZA,-33.5906,26.891,64.35,65,78,33.33,broken clouds
107,Banda Aceh,ID,5.5577,95.3222,80.89,78,100,7.49,overcast clouds
108,Natal,BR,-5.795,-35.2094,86.65,51,20,15.7,few clouds
109,Kurumkan,RU,54.3,110.3,38.98,76,7,6.33,clear sky
110,Malpe,IN,13.35,74.7167,79.9,83,68,2.82,broken clouds
111,Rio Grande,BR,-32.035,-52.0986,66.31,57,31,19.13,scattered clouds
112,Tingo Maria,PE,-9.2895,-76.0088,82.71,57,20,3.85,few clouds
113,Tiarei,PF,-17.5333,-149.3333,73.42,73,66,13.09,broken clouds
114,Matara,LK,5.9485,80.5353,78.75,89,83,11.95,broken clouds
115,Zhigansk,RU,66.7697,123.3711,46.36,64,8,2.13,clear sky
116,Gornopravdinsk,RU,60.05,69.9,56.88,84,95,9.69,light rain
117,Oregon City,US,45.3573,-122.6068,65.84,66,77,1.99,broken clouds
118,Caiaponia,BR,-16.9567,-51.8103,84.79,38,89,7.67,overcast clouds
119,Saskylakh,RU,71.9167,114.0833,29.79,96,16,6.58,few clouds
120,Port Macquarie,AU,-31.4333,152.9167,52.9,78,92,15.03,overcast clouds
121,Nanortalik,GL,60.1432,-45.2371,37.89,84,88,6.13,overcast clouds
122,Krasnaya Zarya,RU,52.7825,37.6806,61.02,95,100,7.72,overcast clouds
123,Pahrump,US,36.2083,-115.9839,82.26,15,82,1.01,broken clouds
124,Ushtobe,KZ,45.2514,77.9838,71.22,32,0,10.69,clear sky
125,Ngawi,ID,-7.4038,111.4461,76.33,89,100,1.7,overcast clouds
126,Dolores,AR,-36.3132,-57.6792,51.21,43,2,17.31,clear sky
127,San Luis,AR,-33.295,-66.3356,58.26,41,23,10.18,few clouds
128,Ambatofinandrahana,MG,-20.55,46.8,54.21,65,6,2.64,clear sky
129,Sibu,MY,2.3,111.8167,75.51,94,40,3.0,scattered clouds
130,Esperance,AU,-33.8667,121.9,60.64,83,100,22.7,light rain
131,Chapais,CA,49.7834,-74.8492,47.98,29,3,5.06,clear sky
132,Kaitangata,NZ,-46.2817,169.8464,49.03,94,100,12.26,moderate rain
133,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,8.05,broken clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,48.99,55,40,11.99,scattered clouds
135,Isangel,VU,-19.55,169.2667,70.34,68,77,2.84,broken clouds
